31.1	31.7	31.9	32.4	32.7	33.1	33.9	34.7	35.1	35.4	35.8	36.1	36.6
33.8	34.3	34.6	35	35.3	35.8	36.5	37.3	37.8	38	38.5	38.8	39.3
35.4	36	36.3	36.7	37	37.4	38.3	39.1	39.5	39.8	40.2	40.5	41.1
36.6	37.2	37.5	37.9	38.2	38.7	39.5	40.4	40.8	41.1	41.6	41.9	42.4
37.6	38.2	38.5	39	39.3	39.7	40.6	41.4	41.9	42.2	42.7	43	43.5
38.5	39	39.3	39.8	40.1	40.6	41.5	42.3	42.8	43.1	43.6	43.9	44.5
39.2	39.7	40.1	40.5	40.8	41.3	42.2	43.1	43.5	43.9	44.3	44.6	45.2
39.8	40.4	40.7	41.1	41.5	41.9	42.8	43.7	44.2	44.5	45	45.3	45.9
40.3	40.9	41.2	41.7	42	42.5	43.4	44.3	44.7	45.1	45.6	45.9	46.5
40.7	41.3	41.6	42.1	42.4	42.9	43.8	44.7	45.2	45.5	46	46.3	46.9
41.1	41.7	42	42.5	42.8	43.3	44.2	45.1	45.6	46	46.4	46.8	47.4
41.4	42	42.4	42.9	43.2	43.7	44.6	45.5	46	46.3	46.8	47.1	47.7
41.7	42.3	42.7	43.2	43.5	44	44.9	45.8	46.3	46.6	47.1	47.5	48.1
